"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"COPYRIGHT";"CUI_PURCHASE_URL";"DESCRIPTION";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MP";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"VALUE";
"10";"0.1uF";"CAP0603-CAP";"0603-CAP";"C8, C10, C12, C14, C20, C23, C33, C63, C67, C69";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"0R";"RESISTOR0603-RES";"0603-RES";"R12, R13, R14, R15, R16, R17";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1 pF TVS";"CAP0603-CAP";"0603-CAP";"C35";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10 uF";"CAP0603-CAP";"0603-CAP";"C5, C16";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"100nF";"CAP0603-CAP";"0603-CAP";"C29, C30, C39, C41";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100pF";"CAP0603-CAP";"0603-CAP";"C32";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"100uF";"CAP1210";"1210";"C17, C25";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"10k";"RESISTOR0603-RES";"0603-RES";"R2, R3, R4, R9";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10pF";"CAP0603-CAP";"0603-CAP";"C26, C31";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"10uF";"CAP0603-CAP";"0603-CAP";"C1, C6, C22, C24, C27, C28, C64";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1k";"RESISTOR0603-RES";"0603-RES";"R7";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"13";"1uF";"CAP0603-CAP";"0603-CAP";"C4, C7, C9, C11, C13, C15, C18, C19, C21, C50, C60, C65, C68";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"220pF";"CAP0603-CAP";"0603-CAP";"C37";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"270";"RESISTOR0603-RES";"0603-RES";"R1, R5, R8, R18";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"2M";"RESISTOR0603-RES";"0603-RES";"R22, R23";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"3.3 uH";"INDUCTOR0805";"0805";"L2, L3, L4";"Inductors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"4.7uF";"CAP0603-CAP";"0603-CAP";"C2, C3";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20";"4.99k";"RESISTOR0603-RES";"0603-RES";"R6, R10, R11, R25, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"533981071";"533981071";"CON_533981071";"J1, J10, J11";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"533981071";"";"Molex Connector Corporation";"";"";"";"";"";"";"";
"1";"6.8 uH";"INDUCTOR0805";"0805";"L1";"Inductors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ADCH";"PINHD-1X8";"1X08";"JP24";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ADCL";"PINHD-1X8";"1X08";"JP25";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"ADP151AUJZ-3.3";"ADP151AUJZ-3.3";"UJ_5_ADI";"U3, U4";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"ADP151AUJZ-1.2-R7";"";"Analog Devices Inc";"";"";"";"";"";"";"";
"1";"ADS1299IPAG";"ADS1299*PAG*";"TQFP64";"IC1";"8-Channel, 24-Bit Analog-To-Digital Converter With Integrated EEG Front End.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"AGND_TEST_POINT";"PINHD-1X1";"1X01";"TP3";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"AM1DM-0505SH60-NZ";"AM1DM-0505SH60-NZ";"SIP1005W50P254L1965H1265Q7";"ISO1";"AM1DM-0505SH60-NZ -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"AVDD_TEST_POINT";"PINHD-1X1";"1X01";"TP1";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"BLUE";"LED-WHITE";"LED-1206";"D2, D3, D4";"White SMD LEDs";"";"";"";"";"";"";"";"";"";"";"";"DIO-09955";"";"WHITE";
"1";"CLK_SEL";"SJ2W";"SJ_2";"SJ4";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"7";"";"";"";"";
"1";"COMMUNICATION";"PINHD-1X8";"1X08";"JP22";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"ESD7L";"ESD7L";"SOT-723";"ESD1, ESD2, ESD3, ESD4, ESD5, ESD6, ESD7, ESD8";"PolMar  Check availability";"In Stock";"";"";" 10.4V Clamp 1A (8/20Âµs) Ipp Tvs Diode Surface Mount SOT-723 ";"";"ON Semiconductor";"";"ESD7L";"SOT-723 ON Semiconductor";"";"None";"";"https://pricing.snapeda.com/search/part/ESD7L/?ref=eda";"";
"3";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"U$2, U$5, U$6";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MAX14483AAP+";"MAX14483AAP+";"21-0056C_20_MXM";"U2";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"MAX14483AAP+";"";"Maxim Integrated Products";"";"";"";"";"";"";"";
"9";"NC";"CAP0603-CAP";"0603-CAP";"C34, C36, C38, C40, C42, C44, C46, C48, C62";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"OPA376DBV";"OPA376DBV";"SOT23-5";"IC7, IC8";"Low-Noise, Low Quiescent Current, Precision Operational Amplifier";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"POWER";"PINHD-1X8";"1X08";"JP26";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"PWMH";"PINHD-1X10";"1X10";"JP20";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"PWML";"PINHD-1X8";"1X08";"JP21";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"R1SE-0505-R";"R1SE-0505-R";"R1SE-0505-R_RCP";"U1";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"R1SE-0505-R";"";"Recom Power";"";"";"";"";"";"";"";
"1";"RED";"LED-RED1206";"LED-1206";"D1";"Assorted Red LEDs";"";"";"";"";"";"";"";"";"";"";"";"DIO-00809";"";"RED";
"6";"SJ1-3535N";"SJ1-3535N";"CUI_SJ1-3535N";"J4, J5, J6, J7, J8, J9";"SJ1 Series 3.5 mm 12 V Right Angle Through Hole Isolated Stereo Audio Jack Check availability";"In Stock";"";"https://www.cuidevices.com/product/interconnect/connectors/audio-connectors/jacks/sj1-353xn-series?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM";"3.5 mm, Stereo, Right Angle, Through Hole, Audio Jack Connector";"";"CUI Devices";"";"SJ1-3535N";"None";"";"None";"";"https://pricing.snapeda.com/search/part/SJ1-3535N/?ref=eda";"";
"1";"SJ1-3535N";"SJ1-3535N";"CUI_SJ1-3535N";"J3";"SJ1 Series 3.5 mm 12 V Right Angle Through Hole Isolated Stereo Audio Jack Check availability";"In Stock";"";"https://www.cuidevices.com/product/interconnect/connectors/audio-connectors/jacks/sj1-353xn-series?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM";"3.5 mm, Stereo, Right Angle, Through Hole, Audio Jack Connector";"";"CUI Devices";"";"SJ1-3535NG-BE";"None";"";"None";"";"https://pricing.snapeda.com/search/part/SJ1-3535N/?ref=eda";"";
"1";"SJ1-3535N";"SJ1-3535N";"CUI_SJ1-3535N";"J2";"SJ1 Series 3.5 mm 12 V Right Angle Through Hole Isolated Stereo Audio Jack Check availability";"In Stock";"";"https://www.cuidevices.com/product/interconnect/connectors/audio-connectors/jacks/sj1-353xn-series?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM";"3.5 mm, Stereo, Right Angle, Through Hole, Audio Jack Connector";"";"CUI Devices";"";"SJ1-3535NG-GR";"None";"";"None";"";"https://pricing.snapeda.com/search/part/SJ1-3535N/?ref=eda";"";
"1";"SPST_TACT-EVQQ2";"SPST_TACT-EVQQ2";"EVQ-Q2";"SW1";"SMT 6mm switch, EVQQ2 series";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"VREFP_TEST_POINT";"PINHD-1X1";"1X01";"TP4";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
